Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PyS.A,PyS.G,PyS.T,PyS.B,PyS.M,PyS.R,D.V,D.I,D.S,D.F,D.O,D.N,H.f,H.o
Sitta_cashmirensis,12.75,4.25,3.875,84.75,19.2,19.1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Sitta_castanea,12.56666667,3.566666667,3.433333333,72.33333333,20.73333333,16.1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Sitta_cinnamoventris,14.025,4.625,4.8,81.75,19.875,19.6,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Sitta_formosa,13.8,5,5.1,106,21.9,24.72372881,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Sitta_frontalis,9.325,3,3.225,74.5,16.05,16.5,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Sitta_himalayensis,10.35,5.175,3.475,73,17.75,14.5,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Sitta_leucopsis,12.775,4.2,3.3,79.5,19.15,14.8,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Spelaeornis_caudatus,6.46,2.753333333,3.236666667,48.26666667,19.19666667,11,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Spelaeornis_formosus,7.825,2.525,3.2,48,20.025,11,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Spelaeornis_troglodytoides,5.925,2.3,3,51,22.45,11,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Sphenocichla_humei,17.5,4.5,6.7,73,28.1,34.1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Stachyridopsis_chrysaea,7.6,2.8,3.35,53,20.6,9,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Stachyridopsis_pyrrhops,8.95,2.9,3.6,55,20.55,9.75,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Stachyridopsis_ruficeps,8.95,2.8,3.3,55.25,20.6,10.3,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Stachyridopsis_rufifrons,7.75,2.675,3.1,50.5,18.35,10.6,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Stachyris_nigriceps,9.925,3.425,4.65,58,23.05,15.8,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Staphida_castaniceps,5.615,2.95,3.075,61.25,17.15,11.8,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Streptopelia_chinensis,10.765,3.505,3.87,140,22.62,159,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Streptopelia_decaocto,10.3425,4.1175,3.93,171.975,24.455,149,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Streptopelia_orientalis,10.88,4.095,3.895,192.4,25.54,233,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Streptopelia_senegalensis,9.23,2.88,3.27,130.225,20.35,83.9,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Streptopelia_tranquebarica,10.66333333,3.226666667,3.69,135.0333333,18.74666667,103,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Strix_aluco,17.96,9.895,16.29,294.5,48.52,475,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Strix_leptogrammica,21.35,12.265,18.14,340,57.535,600,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Strix_nivicola,18.65,9.465,14.94,293.5,52.33,496.5,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Sturnia_malabarica,13.915,6.095,5.945,103.15,25.01,39.6,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Sturnus_vulgaris,20.535,6.37,6.365,120.35,30.535,86,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Surniculus_lugubris,17.29,7.015,7.49,146,14.865,35,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Sylvia_althaea,8.53,3.68,3.48,70.15,21.5,14.9,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Sylviparus_modestus,5.054166667,2.65,2.8375,59.5,17.55,8.2,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Syrrhaptes_tibetanus,NA,NA,NA,NA,NA,347,0,1,0,0,0,0,0,0,1,0,0,0,0,0
